Variation,confirm,start,step_1,step_2,step_3
Control,47187.33693230506,116308.85233574189,865.5091681272752,39.38731360581009,346.3885939899101
Test,70075.64621724594,91382.16079966002,947.6925557160545,83.50143599341702,555.1053139723488
