,clnt_age_category,completion_rate,average_session_duration,average_time_spent
0,Young (0-30),0.13863867636528096,247880.54748803377,27436.736629857158
1,Young Adults (31-40),0.14183078045222466,270963.42186360323,30324.958989788476
2,Middle-aged (41-50),0.13797742731145826,340022.29785484716,36212.90718663577
3,Senior (51+),0.12952751716497782,569687.8124401495,52276.527836367844
